timestamp,pctFull
2025-10-02T00:00:00Z,0.85
2025-10-02T01:00:00Z,0.83
2025-10-02T02:00:00Z,0.81
2025-10-02T03:00:00Z,0.79
2025-10-02T04:00:00Z,0.77
2025-10-02T05:00:00Z,0.75
2025-10-02T06:00:00Z,0.73
2025-10-02T07:00:00Z,0.70
2025-10-02T08:00:00Z,0.66
2025-10-02T09:00:00Z,0.58
2025-10-02T10:00:00Z,0.43
2025-10-02T11:00:00Z,0.30
2025-10-02T12:00:00Z,0.18
2025-10-02T13:00:00Z,0.16
2025-10-02T14:00:00Z,0.15
2025-10-02T15:00:00Z,0.14
2025-10-02T16:00:00Z,0.35
2025-10-02T17:00:00Z,0.55
2025-10-02T18:00:00Z,0.52
2025-10-02T19:00:00Z,0.48
2025-10-02T20:00:00Z,0.44
2025-10-02T21:00:00Z,0.40
2025-10-02T22:00:00Z,0.38
2025-10-02T23:00:00Z,0.36
