timestamp,tempC,doorOpen
2025-10-01T12:00:00Z,3.0,0
2025-10-01T13:00:00Z,3.2,0
2025-10-01T14:00:00Z,3.3,1
2025-10-01T15:00:00Z,4.2,1
2025-10-01T16:00:00Z,3.6,0
2025-10-01T17:00:00Z,3.1,0
2025-10-01T18:00:00Z,3.0,0
2025-10-01T19:00:00Z,3.4,0
2025-10-01T20:00:00Z,3.5,1
2025-10-01T21:00:00Z,4.6,1
2025-10-01T22:00:00Z,4.1,0
2025-10-01T23:00:00Z,3.7,0
2025-10-02T00:00:00Z,3.2,0
2025-10-02T01:00:00Z,3.0,0
2025-10-02T02:00:00Z,3.1,0
2025-10-02T03:00:00Z,3.3,0
2025-10-02T04:00:00Z,3.8,1
2025-10-02T05:00:00Z,4.7,1
2025-10-02T06:00:00Z,5.2,0
2025-10-02T07:00:00Z,3.9,0
2025-10-02T08:00:00Z,3.3,0
2025-10-02T09:00:00Z,3.1,0
2025-10-02T10:00:00Z,3.0,0
2025-10-02T11:00:00Z,3.2,0
2025-10-02T12:00:00Z,3.6,1
2025-10-02T13:00:00Z,4.4,1
2025-10-02T14:00:00Z,6.2,1
2025-10-02T15:00:00Z,5.8,0
2025-10-02T16:00:00Z,4.9,0
2025-10-02T17:00:00Z,4.2,0
2025-10-02T18:00:00Z,3.7,0
2025-10-02T19:00:00Z,3.4,0
2025-10-02T20:00:00Z,3.2,0
2025-10-02T21:00:00Z,3.1,0
2025-10-02T22:00:00Z,3.0,0
2025-10-02T23:00:00Z,3.1,0
