timestamp,tempC,doorOpen
2025-10-01T12:00:00Z,-20.2,0
2025-10-01T13:00:00Z,-20.0,0
2025-10-01T14:00:00Z,-19.8,1
2025-10-01T15:00:00Z,-18.6,1
2025-10-01T16:00:00Z,-19.4,0
2025-10-01T17:00:00Z,-20.1,0
2025-10-01T18:00:00Z,-20.3,0
2025-10-01T19:00:00Z,-19.9,0
2025-10-01T20:00:00Z,-19.7,1
2025-10-01T21:00:00Z,-18.4,1
2025-10-01T22:00:00Z,-19.0,0
2025-10-01T23:00:00Z,-19.6,0
2025-10-02T00:00:00Z,-20.0,0
2025-10-02T01:00:00Z,-20.2,0
2025-10-02T02:00:00Z,-20.1,0
2025-10-02T03:00:00Z,-19.9,0
2025-10-02T04:00:00Z,-19.5,1
2025-10-02T05:00:00Z,-18.8,1
2025-10-02T06:00:00Z,-18.2,0
2025-10-02T07:00:00Z,-19.3,0
2025-10-02T08:00:00Z,-19.9,0
2025-10-02T09:00:00Z,-20.1,0
2025-10-02T10:00:00Z,-20.2,0
2025-10-02T11:00:00Z,-19.8,0
2025-10-02T12:00:00Z,-19.4,1
2025-10-02T13:00:00Z,-18.3,1
2025-10-02T14:00:00Z,-17.9,1
2025-10-02T15:00:00Z,-18.5,0
2025-10-02T16:00:00Z,-19.1,0
2025-10-02T17:00:00Z,-19.7,0
2025-10-02T18:00:00Z,-20.0,0
2025-10-02T19:00:00Z,-20.2,0
2025-10-02T20:00:00Z,-20.1,0
2025-10-02T21:00:00Z,-20.0,0
2025-10-02T22:00:00Z,-20.2,0
2025-10-02T23:00:00Z,-20.1,0
